name,city,address,monthly_rent,bedrooms,senior_type,phone,website,review_score,review_count,review_source,lat,lon,km_to_405_520,km_to_redmond_addr,km_to_midpoint,notes
Brandenwood Senior Apartments,Bellevue,"14520 NE 40th St, Bellevue, WA 98007",1655+,"1BR,2BR",62+,1-844-393-2598,https://www.brandenwood.com/,3.7,3,Caring.com,47.646526,-122.146089,3.68,2.15,0.77,"Market-rate 62+, 60 units. Yelp lists as closed but other sources show active - verify by phone."
Crossroads Active Senior Community (SHAG),Bellevue,"1390 158th Pl NE, Bellevue, WA 98008",1750-2500,"1BR,2BR",55+,425-354-2978,https://housing4seniors.com/communities/bellevue-crossroads-senior-living/,4.3,14,Google,47.621831,-122.129077,4.45,3.89,3.0,"SHAG community built 2019, 185 units. No income cap. Van service, fitness room. Good fit."
Elbert House,Bellevue,"16000 NE 8th St, Bellevue, WA 98008",income-based,1BR,62+,425-747-5111,https://housingapartments.org/rental_detail/4581,unknown,unknown,unknown,47.617705,-122.126338,4.75,4.32,3.48,"HUD subsidized, 49 1BR units. Must be <=50% median income. Likely waitlist."
Ashwood Court Senior Apartments,Bellevue,"11018 NE 11th St, Bellevue, WA 98004",income-based,"studio,1BR,2BR",62+,425-455-9473,https://circliving.org/community/ashwood-court-apartments/,unknown,unknown,unknown,47.620367,-122.192807,1.02,6.68,3.79,"Affordable/tax-credit 62+, 51 units, downtown Bellevue. Van service. Income-restricted."
Patricia Harris Manor,Redmond,"16304 NE 81st St, Redmond, WA 98052",income-based,1BR,62+,206-574-1248,https://www.kcha.org/housing/property.aspx?PropertyID=141,unknown,unknown,unknown,47.6759,-122.122905,7.14,2.17,4.4,"KCHA affordable, 40 1BR units, built 1980. Walk score 90, near downtown Redmond. Waitlist."
Providence John Gabriel House,Redmond,"8632 160th Ave NE, Redmond, WA 98052",1342-1602,"studio,1BR,2BR",62+,425-755-1200,https://www.providence.org/supportive-housing/find-a-place-to-live/providence-john-gabriel-house,unknown,unknown,unknown,47.679642,-122.127184,7.24,2.62,4.6,"Affordable/HUD, 74 units, income <60% AMI. Downtown Redmond near senior center. Rent near target."
Emma McRedmond Manor,Redmond,"7960 169th Ave NE, Redmond, WA 98052",income-based,1BR,62+,425-869-2424,https://affordablehousingonline.com/housing-search/Washington/Redmond/Emma-McRedmond-Manor/10022188,unknown,unknown,unknown,47.674436,-122.114962,7.44,2.06,4.62,"HUD Section 202, 32 units, built 1989. Redmond Elderly Housing Assoc. Waitlist likely."
Forest Glen,Redmond,"8610 164th Ave NE, Redmond, WA 98052",income-based,1BR,62+,206-574-1248,https://www.kcha.org/housing/property.aspx?PropertyID=40,unknown,unknown,unknown,47.679523,-122.121474,7.51,2.57,4.79,"KCHA affordable, 39 1BR units, central Redmond. Verify waitlist status."
Spiritwood Manor (KCHA),Bellevue,"1424 148th Ave SE, Bellevue, WA 98007",income-based,"1BR,2BR,3BR",55+,206-315-4380,https://www.kcha.org/housing/property.aspx?PropertyID=97,unknown,unknown,unknown,47.598347,-122.142821,4.77,6.65,5.0,"KCHA subsidized, Lake Hills. Mixed population (families/seniors 55+/disabled)."
Woodlands at Forbes Lake,Kirkland,"9224 Slater Ave NE, Kirkland, WA 98033",1316-1905,"1BR,2BR",61+,425-823-2887,https://www.livewoodlandsatforbeslakeapartments.com/,4.9,19,Google,47.683913,-122.181853,6.14,5.45,5.03,"Affordable 61+, income/age restricted. Pets ok. Activities. Rent near target. High reviews."
Bellevue Manor (KCHA),Bellevue,"143 Bellevue Way SE, Bellevue, WA 98004",income-based,1BR,55+,206-574-1141,https://www.kcha.org/housing/property.aspx?PropertyID=139,unknown,unknown,unknown,47.608271,-122.201859,2.52,8.06,5.21,Subsidized KCHA senior/disabled. May have waitlist - confirm by phone.
