name,city,address,monthly_rent,bedrooms,senior_type,score,phone,km_to_midpoint,notes
Ashwood Court Senior Apartments,Bellevue,"11018 NE 11th St, Bellevue, WA 98004",income-based,"studio,1BR,2BR",62+,92.8,425-455-9473,3.36,"Affordable/tax-credit 62+, 51 units, downtown Bellevue. Van service. Income-restricted."
Emma McRedmond Manor,Redmond,"7960 169th Ave NE, Redmond, WA 98052",income-based,1BR,62+,90.5,425-869-2424,5.19,"HUD Section 202, 32 units, built 1989. Redmond Elderly Housing Assoc. Waitlist likely."
Patricia Harris Manor,Redmond,"16304 NE 81st St, Redmond, WA 98052",income-based,1BR,62+,90.3,206-574-1248,5.02,"KCHA affordable, 40 1BR units, built 1980. Walk score 90, near downtown Redmond. Waitlist."
Bellevue Manor (KCHA),Bellevue,"143 Bellevue Way SE, Bellevue, WA 98004",income-based,1BR,55+,89.5,206-574-1141,4.7,Subsidized KCHA senior/disabled. May have waitlist - confirm by phone.
Forest Glen,Redmond,"8610 164th Ave NE, Redmond, WA 98052",income-based,1BR,62+,89.4,206-574-1248,5.43,"KCHA affordable, 39 1BR units, central Redmond. Verify waitlist status."
Providence John Gabriel House,Redmond,"8632 160th Ave NE, Redmond, WA 98052",1342-1602,"studio,1BR,2BR",62+,88.4,425-755-1200,5.26,"Affordable/HUD, 74 units, income <60% AMI. Downtown Redmond near senior center. Rent near target."
Elbert House,Bellevue,"16000 NE 8th St, Bellevue, WA 98008",income-based,1BR,62+,85.5,425-747-5111,2.94,"HUD subsidized, 49 1BR units. Must be <=50% median income. Likely waitlist."
Brandenwood Senior Apartments,Bellevue,"14520 NE 40th St, Bellevue, WA 98007",1655+,"1BR,2BR",62+,85.4,1-844-393-2598,1.32,"Market-rate 62+, 60 units. Yelp lists as closed but other sources show active - verify by phone."
Spiritwood Manor (KCHA),Bellevue,"1424 148th Ave SE, Bellevue, WA 98007",income-based,"1BR,2BR,3BR",55+,84.6,206-315-4380,4.29,"KCHA subsidized, Lake Hills. Mixed population (families/seniors 55+/disabled)."
Forest Grove,Redmond,"8350 167th Ave NE, Redmond, WA 98052",income-based,"1BR,2BR,3BR",55+,84.0,206-574-1142,5.02,"KCHA subsidized townhomes, central Redmond, very close to Redmond reference point. MIXED population (families/55+/disabled), not senior-only. Waitlist."
Avondale Manor,Redmond,"17107 NE 80th St, Redmond, WA 98052",income-based,"1BR,2BR,3BR",55+,83.0,206-574-1142,5.32,"KCHA subsidized townhomes near downtown Redmond, very close to Redmond reference point. MIXED population (families/55+/disabled), not senior-only."
Bellepark East,Bellevue,"16241 NE 13th Pl, Bellevue, WA 98008",1275+,"1BR,2BR,3BR",55+,83.0,425-746-4014,2.63,"KCHA, 118 units (built 1968), Crossroads neighborhood. Accepts Section 8. MIXED population (families/55+/disabled), not senior-only."
Woodlands at Forbes Lake,Kirkland,"9224 Slater Ave NE, Kirkland, WA 98033",1316-1905,"1BR,2BR",61+,82.5,425-823-2887,5.69,"Affordable 61+, income/age restricted. Pets ok. Activities. Rent near target. High reviews."
Parkway,Redmond,"3970 West Lake Sammamish Pkwy NE, Redmond, WA 98052",income-based,"1BR,2BR,3BR",55+,82.0,206-315-4380,4.77,"KCHA subsidized apartments two blocks from Lake Sammamish. MIXED population (families/55+/disabled), not senior-only."
Crossroads Active Senior Community (SHAG),Bellevue,"1390 158th Pl NE, Bellevue, WA 98008",1750-2500,"1BR,2BR",55+,80.8,425-354-2978,2.49,"SHAG community built 2019, 185 units. No income cap. Van service, fitness room. Good fit."
